Location,Nearest Node,Latitude,Longitude,Max. CCS,CCS kW,Max. CHAdeMO,CHAdeMO kW,Max. Fast AC,AC Fast kW,AC Socket kW,Max. AC Socket,Open Hours
"Public Car Park, N67/Milltown Malbay Road, Lahinch",46,52.928911,-9.346292,1,50,1,50,1,43,0,0,24 x 7
"Deasy's Public Car Park, Park Road (N71), Clonakilty",76,51.620831,-8.88957,0,0,0,0,0,0,2,22,24 x 7
"Kee's Circle K Service Station, N15/R232 Junction, Laghey",7,54.614937,-8.089765,2,50,2,50,0,0,2,22,24 x 7
"Maxol Filling Station, M1 Junction 4 (R132), Turvey, Donabate",37,53.492693,-6.197212,1,50,1,50,1,43,0,0,24 x 7
"The Galway Plaza, Junction 16, Carrowkeel, Kiltullagh, Co. Galway, Kiltullagh,",44,53.26434,-8.606133,2,"150, 50",2,"70, 50",1,43,0,0,24 x 7
"N17 Plaza (Spar & Supermacs), Galway road, Tuam,",40,53.5081,-8.87159,4,200,4,70,0,0,0,0,24 x 7
"Circle K M9 Kilcullen, Kilcullen M9, Kildare, R56",55,53.08707,-6.755891,2,"150,50",2,"70, 50",0,0,1,22,24 x 7
"Mayfield Services, M7 Junction 14 (R445), Monasterevin, W34 E789",54,53.145072,-7.01151,7,"200(2), 150(5)",3,"70(2), 50",0,0,0,0,24 x 7
"Circle K Service Station, M8 At Junction 3 (R433), Ballacolla,",56,52.866617,-7.480896,2,"150, 50",2,"70, 50",0,0,1,22,24 x 7
"Portlaoise Plaza, Exit 17, M7, Portlaoise",54,53.014096,-7.308305,2,"150, 50",2,"70, 50",1,43,0,0,24 x 7
"Relish xpress, M1 Junction 7 (R132), Mosney Cross (R132), Julianstown",28,53.6584,-6.2636,0,0,0,0,0,0,2,22,24 x 7
"Public Car Park, Kells Road (N51), Off Inner Relief Road, Navan",30,53.655729,-6.687417,0,0,0,0,0,0,2,22,24 x 7
"Irish Rail, M3 Parkway Station, M3 Junction 5 (R157/R147), Near Dunboyne",37,53.43385,-6.47119,0,0,0,0,0,0,2,22,24 x 7
"Circle K Service Station, Emyvale Road (N2), Coolshannagh, Monaghan Town,",23,54.2636,-6.9592,3,"150(2), 50",3,"70(2), 50",0,0,1,22,24 x 7
"Yeats Tavern & Davis' Restaurant, Sligo-Bundoran Road (N15), Drumcliffe",9,54.328887,-8.501889,0,0,0,0,0,0,2,22,24 x 7
"Circle K Service Station, M8 Junction 8 (R692), Wallers Lot, Cashel,",68,52.509038,-7.872552,1,50,1,50,0,0,1,22,24 x 7
"Obama Plaza, M7 Junction 23 (Circle K Service Station), Tipperary, Moneygall",50(52),52.883989,-7.944274,8,200(8),8,70(8),0,0,0,0,24 x 7
"Kilmartin N6 Service Station, Dublin road, Athlone,",34,53.410591,-7.893679,2,150， 50,2,70， 50,0,0,1,22,24 x 7
"Texaco (Mace & Supermacs), N4, Ballinalack,",22(33),53.62617,-7.46709,2,150， 50,2,70， 50,0,0,1,22,24 x 7
"Circle K Service Station, M6 Junction 5 (R389/N52), Tullamore Road, Kilbeggan,",35,53.362824,-7.496517,1,50,1,50,1,43,0,0,24 x 7
"Gorey Services Station, M11, Gorey",90,52.750751,-6.202196,1,50,1,50,1,43,0,0,24 x 7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
