Nodes,Latitude,Longtitude,Degree,Settlement,Population,Classification
1,"54°57'01""N","8°21'30""W",2,Dungloe,1247,Center
2,"54°56'56""N","7°42'56""W",4,Letterkenny,22549,Center
3,"55°02'32""N","7°22'55""W",1,Bridge End,373,Center
4,"54°49'54""N","7°29'00""W",2,Lifford,1613,Center
5,"54°48'17""N","7°46'05""W",3,Ballybofey,5406,Center
6,"54°39'33""N","8°05'11""W",3,Donegal,2749,Center
7,"54°39'28""N","8°25'01""W",2,Killybegs,1259,Connection
8,"54°29'52""N","8°11'09""W",2,Ballyshannon,2246,Connection
9,"54°16'40""N","8°28'29""W",5,Sligo,20608,Center
10,"54°06'47""N","9°09'33""W",3,Ballina,10556,Center
11,"53°57'12""N","8°47'35""W",6,Charlestown,1172,Connection
12,"53°59'17""N","8°16'53""W",3,Boyle,2915,Connection
13,"54°08'40""N","9°44'34""W",2,Bangor Erris,344,Center
14,"53°48'03""N","9°31'20""W",3,Westport,6872,Center
15,"53°51'06""N","9°17'36""W",5,Castlebar,13054,Center
16,"53°58'51""N","9°06'51""W",3,Foxford,1452,Connection
17,"53°43'25""N","8°59'01""W",4,Claremorris,3857,Connection
18,"53°45'47""N","8°45'53""W",4,Ballyhaunis,2773,Connection
19,"53°46'39""N","8°15'04""W",4,Tulsk,191,Connection
20,"53°44'18""N","7°46'39""W",4,Longford,10952,Center
21,"53°59'03""N","7°20'12""W",4,Cavan,11741,Center
22,"53°41'34""N","7°36'36""W",4,Edgeworthstown,2199,Connection
23,"54°15'34""N","6°57'23""W",2,Monaghan,7894,Center
24,"54°06'14""N","6°43'54""W",3,Castleblayney,3926,Connection
25,"54°01'06""N","6°26'30""W",2,Dundalk,43112,Center
26,"53°51'32""N","6°25'41""W",3,dundeer,2143,Connection
27,"53°51'18""N","6°32'20""W",4,Ardee,5478,Center
28,"53°43'41""N","6°23'47""W",3,Drogheda,44135,Center
29,"53°42'30""N","6°32'35""W",4,Slane,1445,Connection
30,"53°38'22""N","6°44'25""W",4,Navan,33886,Center
31,"53°43'04""N","6°53'38""W",4,Kells,6608,Center
32,"53°36'47""N","7°05'28""W",3,Delvin,714,Connection
33,"53°32'07""N","7°18'38""W",4,Mullingar,22667,Center
34,"53°25'52""N","7°55'29""W",5,Athlone,22869,Center
35,"53°21'30""N","7°29'43""W",4,Kilbeggan,1575,Connection
36,"53°26'56""N","7°05'36""W",3,Kinnegad,3064,Connection
37,"53°21'11""N","6°13'25""W",7,Dublin,1263219,Center
38,"53°29'19""N","10°01'14""W",2,Clifden,1259,Center
39,"53°16'46""N","9°02'37""W",4,Galway,85910,Center
40,"53°31'47""N","8°50'55""W",3,Tuam,9647,Center
41,"53°38'02""N","8°10'54""W",5,Roscommon,6555,Center
42,"53°20'24""N","8°56'48""W",4,Claregalway,1632,Connection
43,"53°12'28""N","8°52'03""W",3,Kilcogan,194,Connection
44,"53°15'54""N","8°36'32""W",3,Galway Plaza Service Area,/,Connection
45,"53°04'23""N","8°49'31""W",3,Gort,2870,Connection
46,"52°56'21""N","9°17'36""W",3,Ennistymon,1137,Center
47,"52°49'39""N","8°56'18""W",4,Ennis,27923,Center
48,"53°12'28""N","8°34'10""W",3,Loughrea,6322,Center
49,"52°59'52""N","8°07'35""W",3,Borrisokane,1117,Connection
50,"52°50'43""N","8°14'59""W",3,Nenagh,9895,Center
51,"53°05'22""N","7°54'26""W",4,Birr/Crinkill,4726+795,Center
52,"52°55'18""N","7°47'38""W",4,Roscrea,5542,Center
53,"53°15'15""N","7°28'41""W",3,Tullamore,15598,Center
54,"53°01'56""N","7°18'07""W",5,Portlaoise,23494,Center
55,"53°12'45""N","6°42'19""W",3,newbridege,24366,Center
56,"52°55'30""N","7°28'37""W",3,Aghaboe,/,Connection
57,"52°59'54""N","6°50'33""W",3,Ballitore (Ballytore),662,Connection
58,"52°55'44""N","7°03'39""W",4,Ballylinan,1167,Connection
59,"52°48'04""N","6°52'52""W",4,Carlow,27351,Center
60,"52°44'08""N","6°44'47""W",3,Tullow,5138,Center
61,"52°30'50""N","6°33'51""W",4,Enniscorthy,12310,Center
62,"52°20'17""N","6°30'55""W",3,Wexford,21524,Center
63,"52°23'09""N","6°55'33""W",3,New Ross,8610,Center
64,"52°15'38""N","7°06'33""W",4,Waterford,60079,Center
65,"52°39'08""N","7°14'46""W",5,Kilkenny,27184,Center
66,"52°23'58""N","7°54'53""W",4,Cahir,3679,Connection
67,"52°39'54""N","7°42'23""W",3,Thurles,8185,Center
68,"52°29'55""N","7°53'16""W",3,Cashel,4805,Connection
69,"52°28'27""N","8°09'21""W",3,Tipperary,5387,Center
70,"52°06'45""N","7°35'38""W",3,Dungarvan,10081,Center
71,"51°53'58""N","8°28'11""W",5,Cork,222526,Center
72,"52°08'15""N","8°16'31""W",4,Fermoy,6720,Center
73,"52°17'05""N","8°13'03""W",3,Mitchelstown,3744,Connection
74,"52°08'17""N","8°38'39""W",5,Mallow,13456,Center
75,"52°39'32""N","8°37'37""W",6,Limerick,102287,Center
76,"51°33'09""N","9°16'14""W",2,Skibbereen,2903,Center
77,"51°53'02""N","9°35'24""W",3,Kenmare,2566,Connection
78,"52°03'37""N","9°30'22""W",6,Killarney,14412,Center
79,"51°49'39""N","10°10'20""W",2,Waterville,555,Center
80,"52°16'10""N","9°41'45""W",5,Tralee,26079,Center
81,"52°08'21""N","10°16'17""W",1,Dingle,1671,Center
82,"52°06'22""N","9°47'11""W",3,Killorglin,2163,Connection
83,"52°14'09""N","9°29'08""W",3,Castleisland,2536,Connection
84,"52°34'21""N","9°22'27""W",3,Tarbert,546,Connection
85,"52°38'21""N","9°29'06""W",3,Kilrush,2649,Center
86,"54°11'36""N","7°42'17""W",1,Swanlinbar,222,Center
87,"54°17'29""N","7°52'32""W",1,Blacklion,175,Center
88,"52°15'05""N","6°20'25""W",1,Rosslare Harbour,2247,Center
89,"52°22'03""N","7°36'47""W",3,Clonmel,18369,Center
90,"52°48'14""N","6°10'43""W",2,Arklow,13399,Center
